id, name, study, specialization, albumnumber, address, region, city, street, houseNumber, birthdate, birthplace, pesel, sex, idList
dbwmx1zsdnj,Tomasz Mazur,Informatyka,128164,Motyla,1D,Małopolska,Kraków,Date.UTC(1997,3,21),Gdańsk,98411411101,male,"[0pno4ur7dqn, x48b7et9hch, 8jbn8wmpqej, at21slxhzss, jyhpgiz87ls, nzsysebzoch, at21slxhzss, 0pno4ur7dqn, cr68e4v2r5u, h2fusid77wg]"
crsajq334y8,Edwart Ziora,Informatyka,120888,Ogrodowa,72,Małopolska,Kraków,Date.UTC(1998,11,22),Gdańsk,971019811101,male,"[nryleektjue, cr68e4v2r5u, nryleektjue, nryleektjue, 8bci3xrqzmg, 6evewvpint6, 6evewvpint6, 9ls7ofi0zwe, 27fyonkpddy, c576tt55vq8]"
jltz8x7y0lh,Karol Gil,Informatyka,126607,Pawlikowskiego,32,Małopolska,Kraków,Date.UTC(2000,1,17),Kraków,99924417161,male,"[bphr84ng8wd, g8td7v9kf9r, i2esledtl2b, bphr84ng8wd, 6evewvpint6, wspg90qdsyb, 8jbn8wmpqej, 767vpeva8w4, 6evewvpint6, 51pxajgwqgv]"
4z22bmjyxdf,Sebastian Betlej,Informatyka,127817,Pękowicka,60/4,Małopolska,Kraków,Date.UTC(1999,10,26),Poznań,981214015111,male,"[6evewvpint6, np6v7m21x6h, 7mjpquqjpuu, m9bvqenaj9h, 8bci3xrqzmg, lziwuzpyn8f, c576tt55vq8, x48b7et9hch, r9ub7j4sgaa, jcn6pdcr0us]"
ytogm36hsf9,Łukasz Wojarski,Informatyka,126805,Pocztowa,67,Małopolska,Kraków,Date.UTC(2000,1,12),Szczecin,981012212121,male,"[jcn6pdcr0us, c576tt55vq8, i2esledtl2b, lziwuzpyn8f, m9bvqenaj9h, p914ow3xg7h, c576tt55vq8, c5n0aykierh, 27fyonkpddy, nzsysebzoch]"
3ov94sfn9j4,Bogusława Brudniak,Informatyka,121419,Retmański,33,Małopolska,Kraków,Date.UTC(1998,11,11),Szczecin,97715412101,male,"[zyjqo0rp209, 6evewvpint6, lziwuzpyn8f, g8td7v9kf9r, oe4qjbzmtwh, 27fyonkpddy, 3iqe6u5p52g, 51pxajgwqgv, bphr84ng8wd, nzsysebzoch]"
b9t2ixsdihv,Edyta Włodarska,Informatyka,123081,Miejscowa,17/3,Małopolska,Kraków,Date.UTC(1999,12,24),Kraków,98816413141,female,"[p0cjy9zdlvh, at21slxhzss, tfeglgqst6a, jyhpgiz87ls, 9ls7ofi0zwe, c576tt55vq8, 3iqe6u5p52g, 5mjr4ho2enx, 0pno4ur7dqn, nryleektjue]"
49m6i4dfimm,Paulina Bieniek,Informatyka,127215,Podmokła,66,Małopolska,Kraków,Date.UTC(1998,4,18),Poznań,98325818111,female,"[3iqe6u5p52g, tnxst8pmuoh, 9ls7ofi0zwe, 8jbn8wmpqej, np6v7m21x6h, m9bvqenaj9h, 8yr2leheav7, ughwesp30mh, i2esledtl2b, 7jbxvvahy16]"
tpfxa330tkm,Karolina Maliszewski,Informatyka,128480,Podwawelskie,21,Małopolska,Kraków,Date.UTC(1999,4,11),Opole,97818716111,female,"[8yr2leheav7, jcn6pdcr0us, 19q0yc0lmug, 0pno4ur7dqn, tfeglgqst6a, p0cjy9zdlvh, 27fyonkpddy, 8jbn8wmpqej, jyhpgiz87ls, lziwuzpyn8f]"
d4iutb1d139,Anna Jarzembska,Informatyka,126455,Poturalskiego,84,Małopolska,Kraków,Date.UTC(2000,9,18),Opole,981125212111,female,"[wspg90qdsyb, bphr84ng8wd, np6v7m21x6h, tnxst8pmuoh, kshykd8w2tn, cr68e4v2r5u, nryleektjue, jcn6pdcr0us, 27fyonkpddy, 7jbxvvahy16]"
jm37vbszksk,Małgorzata Urbanek,Informatyka,123784,Różana,4,Małopolska,Kraków,Date.UTC(1997,6,22),Wrocław,97616211111,female,"[x48b7et9hch, bphr84ng8wd, 9ls7ofi0zwe, 0pno4ur7dqn, 3iqe6u5p52g, 9ls7ofi0zwe, 7mjpquqjpuu, 8jbn8wmpqej, x48b7et9hch, 6evewvpint6]"
